Chain,Monomer,X,Y,Z
Chain1,0,0,7,12
Chain1,1,0,9,14
Chain1,2,0,11,15
Chain1,3,0,14,16
Chain1,4,0,14,14
Chain1,5,0,15,12
Chain1,6,0,17,10
Chain1,7,0,20,10
Chain1,8,0,18,13
Chain1,9,0,21,13
Chain1,10,0,23,10
Chain1,11,0,26,11
Chain1,12,0,29,9
Chain1,13,0,30,6
Chain1,14,0,32,5
Chain1,15,0,35,4
Chain1,16,0,37,3
Chain1,17,0,37,6
Chain1,18,0,36,8
Chain1,19,0,38,11
Chain1,20,0,40,12
Chain1,21,0,43,13
Chain1,22,0,45,11
Chain1,23,0,47,10
Chain1,24,0,49,8
Chain1,25,0,52,9
Chain1,26,0,54,12
Chain1,27,0,57,13
Chain1,28,0,60,11
Chain1,29,0,62,12
Chain1,30,0,65,14
Chain1,31,0,68,14
Chain1,32,0,71,14
Chain1,33,0,74,13
Chain1,34,0,76,10
Chain1,35,0,77,7
Chain1,36,0,80,7
Chain1,37,0,79,5
Chain1,38,0,81,2
Chain1,39,0,78,2
Chain2,0,2,10,11
Chain2,1,2,7,9
Chain2,2,2,7,6
Chain2,3,2,10,5
Chain2,4,2,13,7
Chain2,5,2,14,9
Chain2,6,2,17,7
Chain2,7,2,19,6
Chain2,8,2,21,9
Chain2,9,2,23,12
Chain2,10,2,25,11
Chain2,11,2,26,9
Chain2,12,2,28,6
Chain2,13,2,30,5
Chain2,14,2,31,3
Chain2,15,2,34,3
Chain2,16,2,37,3
Chain2,17,2,36,6
Chain2,18,2,35,8
Chain2,19,2,38,10
Chain2,20,2,40,11
Chain2,21,2,40,8
Chain2,22,2,40,5
Chain2,23,2,42,3
Chain2,24,2,45,5
Chain2,25,2,46,8
Chain2,26,2,48,5
Chain2,27,2,51,7
Chain2,28,2,53,10
Chain2,29,2,56,10
Chain2,30,2,58,7
Chain2,31,2,61,7
Chain2,32,2,63,6
Chain2,33,2,66,6
Chain2,34,2,65,3
Chain2,35,2,68,4
Chain2,36,2,71,6
Chain2,37,2,74,5
Chain2,38,2,76,3
Chain2,39,2,78,2
